ID,PRODUCT_ID,ORDER_ID,QUANTITY,LOADED_AT
5939dfa9-3b97-4b24-a107-a480475768be,ededf4cf-5f02-4f11-a210-d23e13131c24,b1c05b23-eec6-4289-9f84-94416a4bda6c,2,2025-07-22 07:06:46.520
2668430b-4090-4cbc-9214-fe88a5523605,9b5d1680-de45-448d-bbe9-9c7f01ed12f4,b1c05b23-eec6-4289-9f84-94416a4bda6c,2,2025-07-22 07:06:46.520
cc863e90-6aad-4f3e-94c9-22aa0e4cf8e0,fb0c75bb-7c02-4201-b210-3ed6141fc29f,bcf4308e-5680-4347-9e61-05f2ca45e8b1,1,2025-07-22 07:06:46.520
cc4d8db0-e783-4934-9bb7-8b67a7e4c1e4,616d68e8-ba55-40eb-92ff-75b771a4c604,bcf4308e-5680-4347-9e61-05f2ca45e8b1,2,2025-07-22 07:06:46.520
1e69e43d-5968-49ec-9994-04a63e47f58e,ededf4cf-5f02-4f11-a210-d23e13131c24,bcf4308e-5680-4347-9e61-05f2ca45e8b1,1,2025-07-22 07:06:46.520
898574c0-4f27-412c-83ea-4bbb9648f8f6,ae8e7e88-5f83-442f-904a-5d622741c5d0,1a389e21-b6c6-4443-9612-b4764c134313,1,2025-07-22 07:06:46.521
a6c3d841-55e6-4f0d-8310-3739e7c657b0,93985b6e-61ef-4f12-9a11-47834074e93f,1a389e21-b6c6-4443-9612-b4764c134313,1,2025-07-22 07:06:46.521
e8086533-1b86-484a-b920-314d0a0f1b0b,827ad8b3-9653-4cb2-8e05-20bb0ae82ded,1a389e21-b6c6-4443-9612-b4764c134313,1,2025-07-22 07:06:46.521
19bd68a8-927b-4693-a073-83320daee223,9f88030a-5a03-46f6-8434-f48f4726fb5a,0944d219-e58e-4698-a6ab-84899017574b,1,2025-07-22 07:06:46.521
2e786aac-2275-45b2-a23e-0736366edaf6,6c33c6e2-fa23-4009-b7af-53f4b5d65089,4b117ae4-7646-40f9-b49e-6e21fcadea50,1,2025-07-22 07:06:46.521
8bad6ce2-b76a-441f-89ce-1957b570d361,0d507b1a-f848-4140-8ed1-898223b84471,4b117ae4-7646-40f9-b49e-6e21fcadea50,1,2025-07-22 07:06:46.521
74592733-2658-41a4-a6a8-00dd94583fc0,fb0c75bb-7c02-4201-b210-3ed6141fc29f,c63c060f-9322-4d3d-b7f8-484c272973d8,1,2025-07-22 07:06:46.521
6eb38137-9deb-4f6a-b677-74d39ac2d5e7,93985b6e-61ef-4f12-9a11-47834074e93f,c63c060f-9322-4d3d-b7f8-484c272973d8,1,2025-07-22 07:06:46.521
57f4363a-9f0b-4262-ade3-70466ba0fcfb,0d507b1a-f848-4140-8ed1-898223b84471,c63c060f-9322-4d3d-b7f8-484c272973d8,1,2025-07-22 07:06:46.521
885ebc64-5980-4fec-acb8-28baeaddba15,b5013e6d-7899-4f02-88a6-98d1f625cfc9,fe7dfaad-e672-48fb-84fe-6d0c40af4580,1,2025-07-22 07:06:46.521
910fc9ff-47b6-4148-a0c5-5ea8a936ac52,8fc03956-bc0d-42ef-88ef-380cbe989b66,fe7dfaad-e672-48fb-84fe-6d0c40af4580,1,2025-07-22 07:06:46.521
50b80add-0ab8-4e62-94e1-d988bbd7a1da,6f91572f-babd-4ddd-974c-8fc9a1e2a8e1,2c92867d-6c8e-41fd-8d5c-ad3c4756a609,2,2025-07-22 07:06:46.521
6d0a7389-4e9e-4488-afe9-1fe4537ad820,f0f44b0e-04dd-4257-a302-93a86b496055,c89d3e57-07a1-476d-9973-58948bf20a40,2,2025-07-22 07:06:46.521
75a261a3-e240-4fef-a3dc-9da16acb39cc,ee29b350-6cbf-4c2f-b6ff-6edc65f2169d,c0ed29f0-678f-48ed-808b-efd42374e384,3,2025-07-22 07:06:46.521
0b5dc764-d84d-4df2-8664-120f0598ed01,fb0c75bb-7c02-4201-b210-3ed6141fc29f,7bda0145-b623-449f-b4ee-c79f7a288638,1,2025-07-22 07:06:46.521
2502f9b2-8e12-4d1f-8b6d-305ab039ebb0,c8c8b0f5-4c33-4514-92ba-314d4f7a10b4,7bda0145-b623-449f-b4ee-c79f7a288638,1,2025-07-22 07:06:46.521
01fdc7be-97a2-446d-b70b-ee8200210de6,93985b6e-61ef-4f12-9a11-47834074e93f,59ade06f-4ef1-4257-ad96-efa966d8c697,1,2025-07-22 07:06:46.521
d42e5cda-0852-4a90-9795-76977ca69dac,f182e320-0dc6-43a2-93a6-1d6b7295956f,ab2c326a-dd8d-4f02-b01a-11e6bb3483e0,1,2025-07-22 07:06:46.521
